Src_IP,Src_Port,Dest_IP,Dest_Port,Proto,Duration,Bytes,Packets,Class
202,54403,8111,4277,2,48.99536349917702,282.801796737259,13.0,Normal
9009,19285,8439,3043,2,134.5430488163788,181.6762505422808,15.0,Normal
359,28402,5760,743,1,79.59215327274227,749.6202831897974,11.0,Normal
3680,52662,8920,769,1,26.919873899980672,1130.0951801978208,11.0,Normal
191,57062,4299,6102,2,7.02055241345783,1127.5102509495262,13.0,Normal
4600,22243,3107,2726,0,28.222884924489527,302.52867269141336,14.0,Normal
8271,12961,1211,6823,1,92.86319591205297,99.58325179036446,13.0,Normal
8810,1818,5110,2668,0,7.900317525079233,2303.241523922925,38.671966635245575,Suspicious
64,48390,4987,1615,2,479.39300439092904,3532.6022839942566,22.11884513230006,Victim
2202,7810,779,6612,2,351.6816795178522,947.884591611491,5.0,Normal
2144,37806,2433,6586,2,8.719529783999402,315.533501845666,14.0,Normal
4107,41184,1514,2108,2,28.32889772066273,202.31009697200358,14.0,Normal
5552,46337,8397,5106,2,112.588158555111,1842.478437495929,6.0,Normal
6716,39145,3898,1936,2,164.03112439300165,1951.4067498845636,10.0,Normal
3831,37199,3327,6835,0,94.593445414464,1063.054110892622,14.119124774922291,Unknown
4514,28056,3029,3266,1,72.40981178444694,821.237052237358,12.0,Normal
4311,27451,4330,2849,2,564.3892115360019,1272.958006916018,32.186645023599795,Suspicious
4945,18382,8044,6165,1,48.51551836314951,153.11295547953705,13.0,Normal
5578,59415,7328,6566,0,8.505504472428935,2823.229233067876,6.0,Normal
7177,62734,2735,7321,2,527.7362833470064,9.831103112851217,9.0,Normal
7591,30814,949,6358,2,19.8792711100896,207.73336342814977,8.0,Normal
4977,21645,2674,3067,1,5.0011818564035835,423.9828913374626,12.0,Normal
4436,49845,7554,8028,1,52.87411483693618,1941.150281497854,9.0,Normal
3753,29389,7832,6061,1,19.9947182384113,9396.36547513447,33.99176696315678,Attacker
3135,14213,1475,5153,2,385.0616779769298,867.224569048758,9.0,Normal
